region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
England,445,148,2.06264607369115e+26,298,496,358,428,New confirmed cases by infection date,Likely increasing
North West,141,51,244,87,160,131,159,New confirmed cases by infection date,Likely increasing
North East and Yorkshire,128,47,213,79,142,100,124,New confirmed cases by infection date,Increasing
Midlands,70,25,124,46,83,56,70,New confirmed cases by infection date,Unsure
London,59,21,108,37,71,39,51,New confirmed cases by infection date,Likely increasing
East of England,25,0,50,15,35,19,26,New confirmed cases by infection date,Likely increasing
South East,19,7,36,11,21,12,16,New confirmed cases by infection date,Unsure
South West,7,1,16,3,8,4,6,New confirmed cases by infection date,Unsure
North East and Yorkshire,1.38,0.99,1.8,1.2,1.52,1.25,1.37,Effective reproduction no.,Increasing
East of England,1.34,0.55,1.76,1.14,1.58,1.27,1.43,Effective reproduction no.,Likely increasing
North West,1.26,0.85,1.69,1.07,1.39,1.12,1.24,Effective reproduction no.,Likely increasing
England,1.23,0.98,4.47,1.06,1.34,1.09,1.19,Effective reproduction no.,Likely increasing
London,1.22,0.83,1.63,1.06,1.38,1.1,1.22,Effective reproduction no.,Likely increasing
South West,1.15,0.73,1.62,0.95,1.28,1.11,1.23,Effective reproduction no.,Unsure
Midlands,1.09,0.7,1.46,0.93,1.23,1.05,1.16,Effective reproduction no.,Unsure
South East,1.07,0.73,1.41,0.92,1.18,1.02,1.11,Effective reproduction no.,Unsure
