Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East Midlands,0 (0 -- 0),Decreasing,0.78 (0.55 -- 0.97),-0.06 (-0.13 -- -0.01),-10.8 (-68.3 -- -5.1)
East of England,0 (0 -- 0),Likely decreasing,0.8 (0.47 -- 1.05),-0.06 (-0.14 -- 0.02),-12.2 (28.3 -- -4.8)
England,2 (1 -- 3),Decreasing,0.84 (0.76 -- 0.92),-0.04 (-0.07 -- -0.02),-15.6 (-32.5 -- -10.5)
London,0 (0 -- 0),Likely decreasing,0.86 (0.65 -- 1.13),-0.04 (-0.1 -- 0.03),-17.4 (20.3 -- -6.6)
North East,0 (0 -- 5),Unsure,1.17 (0.38 -- 2.35),0.05 (-0.16 -- 0.35),15 (2 -- -4.4)
North West,1 (0 -- 2),Likely decreasing,0.88 (0.71 -- 1.05),-0.03 (-0.08 -- 0.01),-21.2 (51.7 -- -8.2)
Scotland,0 (0 -- 0),Likely decreasing,0.4 (0 -- 0.89),-0.19 (-0.39 -- -0.02),-3.7 (-28.1 -- -1.8)
South East,0 (0 -- 1),Decreasing,0.82 (0.55 -- 0.95),-0.05 (-0.13 -- -0.01),-13.4 (-79.1 -- -5.4)
South West,0 (0 -- 1),Unsure,0.97 (0.53 -- 1.48),-0.01 (-0.13 -- 0.13),-96.6 (5.3 -- -5.2)
Wales,0 (0 -- 0),Likely decreasing,0.51 (0.02 -- 0.99),-0.15 (-0.34 -- 0.01),-4.7 (89.7 -- -2)
West Midlands,0 (0 -- 0),Decreasing,0.82 (0.63 -- 0.99),-0.05 (-0.11 -- 0),-13.5 (-351.7 -- -6.4)
Yorkshire and The Humber,0 (0 -- 0),Decreasing,0.82 (0.64 -- 0.99),-0.05 (-0.1 -- 0),-13.8 (981.3 -- -6.8)
