Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,10 (3 -- 18),Unsure,1.08 (0.75 -- 1.38),0.02 (-0.06 -- 0.11),32 (6.3 -- -11.2)
England,437 (241 -- 678),Likely increasing,1.21 (0.96 -- 1.5),0.06 (-0.01 -- 0.13),12.2 (5.4 -- -61.9)
London,62 (23 -- 113),Likely increasing,1.18 (0.83 -- 1.54),0.05 (-0.05 -- 0.14),14.2 (5 -- -14)
Midlands,63 (24 -- 111),Unsure,1.12 (0.78 -- 1.45),0.03 (-0.06 -- 0.12),22 (5.6 -- -12.5)
North East and Yorkshire,143 (63 -- 245),Likely increasing,1.27 (0.92 -- 1.61),0.07 (-0.02 -- 0.16),9.5 (4.3 -- -45.6)
North West,150 (50 -- 270),Likely increasing,1.3 (0.91 -- 1.74),0.08 (-0.03 -- 0.19),8.8 (3.7 -- -26.2)
Northern Ireland,2 (0 -- 5),Unsure,1.03 (0.56 -- 1.49),0.01 (-0.11 -- 0.15),79 (4.8 -- -6.4)
Scotland,0 (0 -- 0),Likely decreasing,0.66 (0.26 -- 1.1),-0.1 (-0.24 -- 0.03),-7 (24 -- -2.9)
South East,24 (10 -- 42),Likely increasing,1.21 (0.92 -- 1.55),0.06 (-0.02 -- 0.14),12.1 (4.8 -- -31)
South West,13 (4 -- 26),Likely increasing,1.31 (0.93 -- 1.72),0.08 (-0.02 -- 0.18),8.4 (3.8 -- -35.9)
Wales,44 (34 -- 55),Likely decreasing,0.97 (0.92 -- 1.03),-0.01 (-0.02 -- 0.01),-88.6 (87.9 -- -31.8)
