Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,4 (1 -- 8),Unsure,0.89 (0.62 -- 1.19),-0.03 (-0.11 -- 0.05),-22.6 (12.9 -- -6.5)
England,52 (25 -- 88),Unsure,0.95 (0.7 -- 1.23),-0.01 (-0.08 -- 0.07),-47.5 (10.5 -- -8.7)
London,12 (2 -- 25),Unsure,1.13 (0.75 -- 1.59),0.03 (-0.07 -- 0.15),20.1 (4.6 -- -9.7)
Midlands,11 (3 -- 24),Unsure,1.08 (0.67 -- 1.53),0.02 (-0.09 -- 0.14),32.5 (5 -- -7.6)
North East and Yorkshire,8 (2 -- 15),Likely decreasing,0.84 (0.52 -- 1.11),-0.05 (-0.13 -- 0.04),-15.1 (16.7 -- -5.3)
North West,8 (2 -- 17),Likely decreasing,0.79 (0.5 -- 1.17),-0.06 (-0.15 -- 0.05),-11.7 (15 -- -4.6)
Northern Ireland,1 (0 -- 4),Unsure,1.04 (0.54 -- 1.51),0.01 (-0.12 -- 0.15),62.3 (4.8 -- -5.7)
Scotland,0 (0 -- 2),Unsure,0.88 (0.4 -- 1.4),-0.03 (-0.16 -- 0.13),-21.2 (5.5 -- -4.3)
South East,7 (2 -- 15),Unsure,1.01 (0.69 -- 1.37),0 (-0.09 -- 0.09),194.5 (7.3 -- -7.7)
South West,2 (0 -- 4),Unsure,0.92 (0.55 -- 1.22),-0.02 (-0.13 -- 0.06),-29.9 (12 -- -5.3)
Wales,45 (35 -- 56),Likely decreasing,0.97 (0.9 -- 1.02),-0.01 (-0.03 -- 0.01),-75 (122.1 -- -25.4)
