region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
England,1026,356,1906,588,1151,New confirmed cases by infection date,Unsure
Midlands,213,79,351,140,247,New confirmed cases by infection date,Unsure
London,198,101,319,140,224,New confirmed cases by infection date,Likely increasing
Northern Ireland,181,30,447,71,201,New confirmed cases by infection date,Increasing
North West,167,77,282,114,192,New confirmed cases by infection date,Likely decreasing
North East and Yorkshire,109,15,2098749697943100,45,118,New confirmed cases by infection date,Unsure
South East,103,53,162,75,116,New confirmed cases by infection date,Likely increasing
South West,55,20,102,34,64,New confirmed cases by infection date,Unsure
East of England,45,14,78,27,51,New confirmed cases by infection date,Unsure
Scotland,41,6,88,16,47,New confirmed cases by infection date,Unsure
Wales,17,1,53,3,18,New confirmed cases by infection date,Unsure
Northern Ireland,1.7,1.09,2.35,1.4,1.88,Effective reproduction no.,Increasing
London,1.15,0.88,1.42,1.05,1.26,Effective reproduction no.,Likely increasing
South East,1.13,0.89,1.36,1.03,1.21,Effective reproduction no.,Likely increasing
South West,1.09,0.76,1.45,0.93,1.19,Effective reproduction no.,Unsure
Wales,1.05,0.48,1.79,0.68,1.19,Effective reproduction no.,Unsure
England,1,0.69,1.35,0.83,1.09,Effective reproduction no.,Unsure
East of England,0.93,0.64,1.23,0.81,1.04,Effective reproduction no.,Unsure
Midlands,0.91,0.6,1.17,0.8,1.02,Effective reproduction no.,Unsure
North West,0.85,0.61,1.09,0.75,0.93,Effective reproduction no.,Likely decreasing
Scotland,0.83,0.44,1.23,0.69,1,Effective reproduction no.,Unsure
North East and Yorkshire,0.78,0.54,1.3,0.58,0.86,Effective reproduction no.,Unsure
