Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,0 (0 -- 1),Likely decreasing,0.58 (0.01 -- 1.29),-0.12 (-0.33 -- 0.09),-5.5 (7.6 -- -2.1)
England,5 (0 -- 21),Unsure,0.83 (0.27 -- 1.41),-0.05 (-0.22 -- 0.11),-14.3 (6 -- -3.1)
London,1 (0 -- 9),Unsure,1.1 (0.25 -- 2.27),0.03 (-0.22 -- 0.32),25.8 (2.2 -- -3.1)
Midlands,0 (0 -- 1),Likely decreasing,0.7 (0.24 -- 1.15),-0.09 (-0.23 -- 0.05),-8.1 (13.1 -- -3)
North East and Yorkshire,1 (0 -- 5),Unsure,0.98 (0.45 -- 1.6),0 (-0.14 -- 0.17),-159.2 (4 -- -4.8)
North West,2 (0 -- 9),Unsure,0.86 (0.3 -- 1.5),-0.04 (-0.21 -- 0.14),-17.2 (4.9 -- -3.3)
Northern Ireland,0 (0 -- 1),Unsure,0.93 (0.46 -- 1.54),-0.02 (-0.16 -- 0.15),-34.8 (4.8 -- -4.4)
Scotland,0 (0 -- 0),Likely decreasing,0.47 (0.01 -- 0.92),-0.16 (-0.33 -- 0.01),-4.3 (119.5 -- -2.1)
South East,0 (0 -- 1),Likely decreasing,0.7 (0.25 -- 1.15),-0.09 (-0.21 -- 0.06),-7.9 (11 -- -3.3)
South West,1 (0 -- 8),Unsure,1.26 (0.39 -- 2.21),0.07 (-0.16 -- 0.31),10 (2.2 -- -4.3)
Wales,1 (0 -- 4),Unsure,0.95 (0.5 -- 1.42),-0.01 (-0.15 -- 0.11),-51.2 (6.4 -- -4.6)
