Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,38 (7 -- 2277903521),Unsure,0.87 (0.61 -- 2.56),-0.04 (-0.12 -- 0.17),-19.8 (4.2 -- -6)
England,151 (5 -- 465),Decreasing,0.7 (0.02 -- 0.99),-0.09 (-0.37 -- 0),-7.9 (-174.5 -- -1.9)
London,196 (133 -- 271),Likely increasing,1.13 (0.93 -- 1.33),0.04 (-0.02 -- 0.09),19.8 (7.7 -- -43.5)
Midlands,148 (24 -- 1.16983533738599e+130),Unsure,0.75 (0.3 -- 641.76),-0.07 (-0.21 -- 59.34),-9.6 (0 -- -3.3)
North East and Yorkshire,59 (14 -- 1.12814295333857e+218),Likely decreasing,0.56 (0.33 -- 578.4),-0.13 (-0.2 -- 33.9),-5.3 (0 -- -3.5)
North West,141 (91 -- 44317478877),Unsure,0.8 (0.61 -- 1.88),-0.06 (-0.11 -- 0.07),-12.2 (10 -- -6.1)
Northern Ireland,108 (44 -- 182),Likely increasing,1.3 (0.87 -- 1.74),0.08 (-0.03 -- 0.19),8.7 (3.6 -- -24.2)
Scotland,11 (1 -- 7.03707767202514e+20),Decreasing,0.37 (0.1 -- 0.62),-0.2 (-0.26 -- -0.09),-3.5 (-7.8 -- -2.7)
South East,98 (0 -- 152),Unsure,1.05 (0.02 -- 1.3),0.01 (-0.29 -- 0.08),49.2 (8.8 -- -2.4)
South West,78 (16 -- 3.00857855281397e+48),Likely increasing,1.29 (0.84 -- 20.05),0.08 (-0.02 -- 1.19),9.1 (0.6 -- -33)
Wales,36 (7 -- 79),Likely increasing,1.44 (0.8 -- 2.22),0.12 (-0.05 -- 0.3),6 (2.3 -- -14.2)
