region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
England,52,20,85,36,61,New confirmed cases by infection date,Unsure
Wales,46,35,56,42,49,New confirmed cases by infection date,Likely decreasing
London,12,4,26,6,14,New confirmed cases by infection date,Unsure
Midlands,11,2,24,5,12,New confirmed cases by infection date,Unsure
North East and Yorkshire,8,2,15,4,9,New confirmed cases by infection date,Likely decreasing
North West,8,2,17,4,9,New confirmed cases by infection date,Likely decreasing
South East,8,2,16,4,9,New confirmed cases by infection date,Unsure
East of England,4,1,8,2,4,New confirmed cases by infection date,Unsure
South West,2,0,4,1,2,New confirmed cases by infection date,Unsure
London,1.14,0.76,1.55,0.96,1.29,Effective reproduction no.,Unsure
Midlands,1.07,0.71,1.6,0.86,1.19,Effective reproduction no.,Unsure
Northern Ireland,1.03,0.59,1.54,0.79,1.17,Effective reproduction no.,Unsure
South East,1.02,0.65,1.35,0.84,1.1,Effective reproduction no.,Unsure
Northern Ireland,1,0,4,0,1,New confirmed cases by infection date,Unsure
Wales,0.97,0.91,1.02,0.95,0.99,Effective reproduction no.,Likely decreasing
England,0.95,0.68,1.21,0.83,1.05,Effective reproduction no.,Unsure
South West,0.91,0.58,1.22,0.78,1.03,Effective reproduction no.,Unsure
Scotland,0.9,0.41,1.38,0.63,1.01,Effective reproduction no.,Unsure
East of England,0.89,0.65,1.19,0.77,0.97,Effective reproduction no.,Unsure
North East and Yorkshire,0.83,0.55,1.16,0.71,0.95,Effective reproduction no.,Likely decreasing
North West,0.78,0.43,1.14,0.61,0.88,Effective reproduction no.,Likely decreasing
Scotland,0,0,2,0,0,New confirmed cases by infection date,Unsure
