region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
Wales,47,36,57,42,50,New confirmed cases by infection date,Likely decreasing
England,38,17,64,25,43,New confirmed cases by infection date,Unsure
Midlands,23,6,47,12,27,New confirmed cases by infection date,Likely increasing
North East and Yorkshire,6,1,2.56650549934059e+25,3,7,New confirmed cases by infection date,Unsure
London,5,1,11,3,6,New confirmed cases by infection date,Unsure
South East,5,1,10,2,5,New confirmed cases by infection date,Unsure
North West,4,1,5276,1,5,New confirmed cases by infection date,Unsure
East of England,3,1,6,2,3,New confirmed cases by infection date,Likely decreasing
South West,3,1,7,1,3,New confirmed cases by infection date,Unsure
Northern Ireland,2,0,6,1,2,New confirmed cases by infection date,Unsure
Midlands,1.26,0.84,1.75,1.04,1.39,Effective reproduction no.,Likely increasing
Northern Ireland,1.1,0.59,1.61,0.87,1.25,Effective reproduction no.,Unsure
South West,1.04,0.69,1.43,0.84,1.13,Effective reproduction no.,Unsure
Wales,0.97,0.93,1.04,0.95,0.99,Effective reproduction no.,Likely decreasing
South East,0.92,0.63,1.24,0.79,1.01,Effective reproduction no.,Unsure
England,0.88,0.63,1.12,0.76,0.96,Effective reproduction no.,Unsure
London,0.88,0.56,1.24,0.74,1.01,Effective reproduction no.,Unsure
East of England,0.86,0.61,1.14,0.76,0.97,Effective reproduction no.,Likely decreasing
North East and Yorkshire,0.84,0.61,5.32,0.67,0.95,Effective reproduction no.,Unsure
Scotland,0.73,0.29,1.14,0.52,0.85,Effective reproduction no.,Likely decreasing
North West,0.72,0.43,1.1,0.49,0.81,Effective reproduction no.,Unsure
Scotland,0,0,1,0,0,New confirmed cases by infection date,Likely decreasing
