Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,3 (1 -- 6),Likely decreasing,0.86 (0.61 -- 1.14),-0.04 (-0.11 -- 0.04),-17.3 (18.7 -- -6.1)
England,38 (17 -- 64),Unsure,0.88 (0.63 -- 1.12),-0.03 (-0.1 -- 0.04),-21 (18.3 -- -7)
London,5 (1 -- 11),Unsure,0.88 (0.56 -- 1.24),-0.03 (-0.13 -- 0.07),-20.5 (10.4 -- -5.4)
Midlands,23 (6 -- 47),Likely increasing,1.26 (0.84 -- 1.75),0.07 (-0.04 -- 0.2),10.1 (3.5 -- -18.4)
North East and Yorkshire,6 (1 -- 2.56650549934059e+25),Unsure,0.84 (0.61 -- 5.32),-0.04 (-0.11 -- 0.37),-15.8 (1.9 -- -6.1)
North West,4 (1 -- 5276),Unsure,0.72 (0.43 -- 1.1),-0.08 (-0.17 -- 0.02),-8.7 (29.9 -- -4)
Northern Ireland,2 (0 -- 6),Unsure,1.1 (0.59 -- 1.61),0.03 (-0.09 -- 0.19),25.9 (3.7 -- -7.8)
Scotland,0 (0 -- 1),Likely decreasing,0.73 (0.29 -- 1.14),-0.08 (-0.23 -- 0.04),-8.9 (19.7 -- -3.1)
South East,5 (1 -- 10),Unsure,0.92 (0.63 -- 1.24),-0.02 (-0.1 -- 0.07),-29.5 (10.3 -- -6.8)
South West,3 (1 -- 7),Unsure,1.04 (0.69 -- 1.43),0.01 (-0.09 -- 0.11),70.9 (6 -- -8.1)
Wales,47 (36 -- 57),Likely decreasing,0.97 (0.93 -- 1.04),-0.01 (-0.02 -- 0.01),-100.2 (63.7 -- -33.4)
