Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,3 (1 -- 6),Likely decreasing,0.87 (0.72 -- 1.04),-0.04 (-0.08 -- 0.01),-19.5 (72 -- -8.7)
England,45 (15 -- 80),Unsure,0.95 (0.72 -- 1.17),-0.01 (-0.08 -- 0.05),-50.6 (13.8 -- -9)
London,12 (1 -- 36),Unsure,1.11 (0.7 -- 1.71),0.03 (-0.08 -- 0.19),23.9 (3.7 -- -8.3)
Midlands,8 (2 -- 21),Unsure,0.98 (0.71 -- 1.37),-0.01 (-0.08 -- 0.1),-107.6 (6.9 -- -8.5)
North East and Yorkshire,8 (3 -- 16),Unsure,0.95 (0.75 -- 1.13),-0.01 (-0.06 -- 0.04),-54.2 (16.6 -- -10.7)
North West,7 (0 -- 17),Unsure,0.84 (0.48 -- 1.2),-0.05 (-0.15 -- 0.06),-15.1 (12.6 -- -4.5)
Northern Ireland,1 (0 -- 6),Unsure,1.05 (0.53 -- 1.63),0.01 (-0.14 -- 0.16),46.7 (4.3 -- -4.9)
Scotland,0 (0 -- 2),Unsure,0.77 (0.05 -- 1.5),-0.06 (-0.3 -- 0.16),-10.7 (4.5 -- -2.3)
South East,5 (2 -- 10),Unsure,0.93 (0.76 -- 1.15),-0.02 (-0.07 -- 0.04),-33.3 (15.4 -- -10.6)
South West,2 (0 -- 5),Unsure,0.92 (0.6 -- 1.3),-0.02 (-0.12 -- 0.08),-31.6 (8.8 -- -5.9)
Wales,41 (34 -- 48),Decreasing,0.97 (0.94 -- 0.99),-0.01 (-0.02 -- 0),-76.8 (-404 -- -43)
