Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,45 (17 -- 77),Unsure,0.94 (0.64 -- 1.23),-0.02 (-0.1 -- 0.06),-40.9 (11 -- -6.9)
England,812 (180 -- 1623),Unsure,0.93 (0.56 -- 1.34),-0.02 (-0.13 -- 0.09),-33.5 (7.5 -- -5.4)
London,172 (82 -- 284),Unsure,1.06 (0.79 -- 1.34),0.02 (-0.06 -- 0.09),45.2 (7.8 -- -11.3)
Midlands,132 (56 -- 228),Likely decreasing,0.78 (0.53 -- 1.02),-0.06 (-0.14 -- 0.01),-11.1 (121.7 -- -4.9)
North East and Yorkshire,81 (0 -- 142),Decreasing,0.72 (0.24 -- 0.94),-0.08 (-0.27 -- -0.02),-8.4 (-39.5 -- -2.6)
North West,143 (69 -- 232),Likely decreasing,0.83 (0.6 -- 1.05),-0.05 (-0.11 -- 0.02),-14.4 (39.8 -- -6.2)
Northern Ireland,159 (30 -- 372),Increasing,1.52 (1 -- 2.1),0.13 (0 -- 0.27),5.1 (2.5 -- 158)
Scotland,47 (10 -- 94),Unsure,0.9 (0.55 -- 1.23),-0.03 (-0.13 -- 0.07),-24 (9.5 -- -5.5)
South East,104 (42 -- 187),Unsure,1.07 (0.73 -- 1.42),0.02 (-0.07 -- 0.12),38 (6 -- -9.4)
South West,64 (27 -- 116),Unsure,1.12 (0.83 -- 1.48),0.03 (-0.04 -- 0.13),21.8 (5.4 -- -15.8)
Wales,34 (2 -- 104),Unsure,1.26 (0.57 -- 2.1),0.07 (-0.11 -- 0.28),9.8 (2.5 -- -6)
