Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,67 (24 -- 119),Unsure,1.06 (0.74 -- 1.41),0.02 (-0.07 -- 0.11),42 (6.5 -- -9.3)
England,1221 (529 -- 2032),Unsure,1.05 (0.71 -- 1.35),0.01 (-0.08 -- 0.09),55.9 (7.4 -- -8.9)
London,175 (78 -- 286),Likely increasing,1.15 (0.86 -- 1.45),0.04 (-0.04 -- 0.12),16.6 (5.9 -- -18.3)
Midlands,354 (175 -- 570),Unsure,1.1 (0.83 -- 1.37),0.03 (-0.05 -- 0.1),25.4 (7.1 -- -13.9)
North East and Yorkshire,272 (127 -- 460),Unsure,1.1 (0.82 -- 1.45),0.03 (-0.05 -- 0.12),26.2 (6 -- -13.3)
North West,258 (131 -- 414),Unsure,0.97 (0.74 -- 1.22),-0.01 (-0.08 -- 0.06),-73.9 (12.4 -- -9.2)
Scotland,55 (15 -- 107),Unsure,0.93 (0.59 -- 1.31),-0.02 (-0.12 -- 0.08),-37.9 (8.5 -- -5.8)
South East,162 (64 -- 316),Likely increasing,1.37 (0.96 -- 1.9),0.1 (-0.01 -- 0.23),7.2 (3.1 -- -60)
South West,55 (23 -- 107),Unsure,1.12 (0.8 -- 1.53),0.03 (-0.06 -- 0.14),20.7 (5.1 -- -12.2)
Wales,23 (3 -- 62),Unsure,1.17 (0.58 -- 1.85),0.05 (-0.11 -- 0.23),15.2 (3 -- -6.4)
