region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
England,46,14,98,23,51,34,44,New confirmed cases by infection date,Increasing
North West,13,2,33,5,14,8,11,New confirmed cases by infection date,Likely increasing
Midlands,6,0,3.64018875795929e+40,2,7,3,5,New confirmed cases by infection date,Likely increasing
North East and Yorkshire,5,1,14,2,6,3,4,New confirmed cases by infection date,Likely increasing
England,1.3,0.99,1.65,1.16,1.4,1.23,1.32,Effective reproduction no.,Increasing
Midlands,1.23,0.97,4.72,1.06,1.37,1.13,1.23,Effective reproduction no.,Likely increasing
North West,1.23,0.86,1.62,1.07,1.35,1.13,1.23,Effective reproduction no.,Likely increasing
North East and Yorkshire,1.19,0.85,1.52,1.04,1.29,1.08,1.16,Effective reproduction no.,Likely increasing
London,1.15,0.7,1.67,0.94,1.29,1.07,1.2,Effective reproduction no.,Unsure
South East,1.09,0.76,1.55,0.91,1.19,1,1.1,Effective reproduction no.,Unsure
South West,1.04,0.63,1.49,0.84,1.17,0.91,1.04,Effective reproduction no.,Unsure
London,1,0,6,0,2,0,1,New confirmed cases by infection date,Unsure
South East,1,0,5,0,1,0,1,New confirmed cases by infection date,Unsure
East of England,0.92,0.63,1.28,0.8,1.03,0.84,0.93,Effective reproduction no.,Unsure
East of England,0,0,1,0,0,0,0,New confirmed cases by infection date,Unsure
South West,0,0,2,0,1,0,0,New confirmed cases by infection date,Unsure
