region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
England,53,25,89,34,58,New confirmed cases by infection date,Unsure
Wales,46,35,56,40,48,New confirmed cases by infection date,Likely decreasing
London,12,3,24,6,13,New confirmed cases by infection date,Unsure
Midlands,11,4,25,6,13,New confirmed cases by infection date,Unsure
North East and Yorkshire,8,2,15,4,9,New confirmed cases by infection date,Likely decreasing
North West,8,2,17,4,9,New confirmed cases by infection date,Likely decreasing
South East,7,2,15,4,9,New confirmed cases by infection date,Unsure
East of England,4,1,8,2,4,New confirmed cases by infection date,Unsure
South West,2,0,4,1,2,New confirmed cases by infection date,Unsure
London,1.13,0.73,1.52,0.91,1.22,Effective reproduction no.,Unsure
Midlands,1.08,0.69,1.5,0.88,1.19,Effective reproduction no.,Unsure
Northern Ireland,1.04,0.51,1.52,0.82,1.21,Effective reproduction no.,Unsure
South East,1.02,0.69,1.36,0.86,1.11,Effective reproduction no.,Unsure
Northern Ireland,1,0,4,0,1,New confirmed cases by infection date,Unsure
Wales,0.97,0.91,1.03,0.95,0.99,Effective reproduction no.,Likely decreasing
England,0.95,0.7,1.23,0.83,1.04,Effective reproduction no.,Unsure
South West,0.91,0.58,1.26,0.78,1.05,Effective reproduction no.,Unsure
East of England,0.89,0.61,1.19,0.77,0.98,Effective reproduction no.,Unsure
Scotland,0.87,0.44,1.4,0.7,1.07,Effective reproduction no.,Unsure
North East and Yorkshire,0.85,0.54,1.14,0.73,0.97,Effective reproduction no.,Likely decreasing
North West,0.79,0.44,1.13,0.65,0.91,Effective reproduction no.,Likely decreasing
Scotland,0,0,2,0,0,New confirmed cases by infection date,Unsure
