region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
England,2,1,3,2,2,New confirmed cases by infection date,Decreasing
North East,1.17,0.38,2.35,0.73,1.37,Effective reproduction no.,Unsure
North West,1,0,2,1,1,New confirmed cases by infection date,Likely decreasing
South West,0.97,0.53,1.48,0.75,1.09,Effective reproduction no.,Unsure
North West,0.88,0.71,1.05,0.84,0.93,Effective reproduction no.,Likely decreasing
London,0.86,0.65,1.13,0.79,0.93,Effective reproduction no.,Likely decreasing
England,0.84,0.76,0.92,0.83,0.86,Effective reproduction no.,Decreasing
South East,0.82,0.55,0.95,0.78,0.88,Effective reproduction no.,Decreasing
West Midlands,0.82,0.63,0.99,0.77,0.85,Effective reproduction no.,Decreasing
Yorkshire and The Humber,0.82,0.64,0.99,0.78,0.88,Effective reproduction no.,Decreasing
East of England,0.8,0.47,1.05,0.74,0.87,Effective reproduction no.,Likely decreasing
East Midlands,0.78,0.55,0.97,0.72,0.85,Effective reproduction no.,Decreasing
Wales,0.51,0.02,0.99,0.04,0.54,Effective reproduction no.,Likely decreasing
Scotland,0.4,0,0.89,0,0.4,Effective reproduction no.,Likely decreasing
East Midlands,0,0,0,0,0,New confirmed cases by infection date,Decreasing
East of England,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing
London,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing
North East,0,0,5,0,0,New confirmed cases by infection date,Unsure
Scotland,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing
South East,0,0,1,0,0,New confirmed cases by infection date,Decreasing
South West,0,0,1,0,0,New confirmed cases by infection date,Unsure
Wales,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing
West Midlands,0,0,0,0,0,New confirmed cases by infection date,Decreasing
Yorkshire and The Humber,0,0,0,0,0,New confirmed cases by infection date,Decreasing
