Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,3 (1 -- 6),Likely decreasing,0.86 (0.6 -- 1.14),-0.04 (-0.12 -- 0.04),-17.8 (19.4 -- -5.9)
England,36 (14 -- 58),Likely decreasing,0.86 (0.6 -- 1.08),-0.04 (-0.12 -- 0.02),-17 (30 -- -6)
London,6 (1 -- 13),Unsure,0.91 (0.57 -- 1.27),-0.02 (-0.12 -- 0.08),-27.8 (9.1 -- -5.7)
Midlands,22 (7 -- 48),Likely increasing,1.26 (0.84 -- 1.81),0.07 (-0.04 -- 0.21),9.9 (3.3 -- -18.2)
North East and Yorkshire,5 (1 -- 11),Likely decreasing,0.78 (0.46 -- 1.08),-0.06 (-0.15 -- 0.03),-11.3 (24.1 -- -4.5)
North West,3 (0 -- 7),Decreasing,0.63 (0.35 -- 0.95),-0.11 (-0.2 -- -0.01),-6.3 (-62 -- -3.4)
Northern Ireland,3 (0 -- 9),Unsure,1.24 (0.72 -- 1.84),0.06 (-0.08 -- 0.22),11.1 (3.2 -- -9.1)
Scotland,0 (0 -- 1),Unsure,0.76 (0.32 -- 1.25),-0.07 (-0.21 -- 0.07),-10.3 (9.6 -- -3.3)
South East,5 (1 -- 10),Unsure,0.91 (0.62 -- 1.22),-0.03 (-0.11 -- 0.06),-27.2 (11.6 -- -6.2)
South West,2 (0 -- 5),Unsure,0.94 (0.61 -- 1.31),-0.02 (-0.11 -- 0.08),-41.1 (8.4 -- -6.2)
Wales,45 (35 -- 56),Likely decreasing,0.97 (0.91 -- 1.03),-0.01 (-0.02 -- 0.01),-78.7 (96.3 -- -28.4)
